Sort [1],State,FIPS,County [2],Population(2010),Land Areakm²,Land Areami²,Water Areakm²,Water Areami²,Total Areakm²,Total Areami²,Latitude,Longitude
202,CA,c06031,Kings,"152,982","3,598.58","1,389.42",5.469,2.111,"3,604.05","1,391.53",36.072478000000004,-119.81553000000001
203,CA,c06033,Lake,"64,665","3,254.23","1,256.46",188.962,72.959,"3,443.19","1,329.42",39.094802,-122.746757
204,CA,c06035,Lassen,"34,895","11,761.61","4,541.18",463.441,178.935,"12,225.05","4,720.12",40.721089,-120.629931
205,CA,c06037,Los Angeles,"9,818,605","10,509.87","4,057.88","1,795.01",693.058,"12,304.88","4,750.94",34.196397999999995,-118.26186200000001
206,CA,c06039,Madera,"150,865","5,534.98","2,137.07",41.958,16.2,"5,576.94","2,153.27",37.210039,-119.749852
207,CA,c06041,Marin,"252,409","1,347.59",520.306,797.42,307.886,"2,145.01",828.192,38.051817,-122.745974
208,CA,c06043,Mariposa,"18,251","3,752.42","1,448.82",36.271,14.004,"3,788.69","1,462.82",37.570034,-119.91286000000001
209,CA,c06045,Mendocino,"87,841","9,081.39","3,506.34",962.953,371.798,"10,044.34","3,878.14",39.432388,-123.442881
210,CA,c06047,Merced,"255,793","5,011.56","1,934.97",112.76,43.537,"5,124.32","1,978.51",37.194806,-120.722802
211,CA,c06049,Modoc,"9,686","10,146.98","3,917.77",739.774,285.629,"10,886.75","4,203.40",41.592919,-120.71837
212,CA,c06051,Mono,"14,202","7,896.83","3,048.98",214.695,82.894,"8,111.52","3,131.88",37.915836,-118.87516699999999
213,CA,c06053,Monterey,"415,057","8,496.70","3,280.60","1,270.71",490.626,"9,767.42","3,771.22",36.240107,-121.315573
214,CA,c06055,Napa,"136,484","1,938.25",748.362,104.169,40.22,"2,042.42",788.582,38.507351,-122.32599499999999
215,CA,c06057,Nevada,"98,764","2,480.62",957.772,41.515,16.029,"2,522.13",973.801,39.295190999999996,-120.77344599999999
216,CA,c06059,Orange,"3,010,232","2,047.56",790.568,407.917,157.498,"2,455.48",948.066,33.675686999999996,-117.777207
217,CA,c06061,Placer,"348,432","3,644.14","1,407.01",247.205,95.447,"3,891.34","1,502.46",39.062032,-120.722718
218,CA,c06063,Plumas,"20,007","6,612.35","2,553.04",156.395,60.385,"6,768.75","2,613.43",39.99517,-120.829516
